Nom,Famille,Nom latin,Description,Population estimée,Localisation
Castor,Castoridae,Castor fiber,Le castor est un rongeur semi-aquatique connu pour sa queue plate et sa capacité à construire des barrages.,12000000,France Allemagne Pologne
Chat domestique,Felidae,Felis catus,"Mammifère carnivore domestiqué, au corps souple et aux yeux expressifs.",600000000,Monde entier
Chien,Canidae,Canis lupus familiaris,"Mammifère domestique au poil court ou long, aux oreilles dressées ou tombantes, aux yeux expressifs.",478000000,Monde entier
Ecureuil roux,Sciuridae,Sciurus vulgaris,Petit rongeur au pelage roux avec une queue touffue.,10000000,France Allemagne Suisse
Lapin de garenne,Leporidae,Oryctolagus cuniculus,"Petit mammifère lagomorphe au pelage brun-gris, avec de grandes oreilles et des yeux rouges.",300000000,France Espagne
Loup,Canidés,Canis lupus,"Mammifère carnivore de taille moyenne, au pelage gris-brun, vivant en meute.",300000,Canada États-Unis Russie Chine
Lynx,Felidae,Lynx lynx,"Le lynx est un félin de taille moyenne, reconnaissable à ses oreilles pointues et sa queue courte.",100000,Russie Canada États-Unis
Ours brun,Ursidae,Ursus arctos,L'ours brun est un grand mammifère carnivore caractérisé par sa taille imposante et sa fourrure brune.,200000,Canada États-Unis Russie
Puma,Felidae,Puma concolor,"Grand félin solitaire aux couleurs variables, adapté aux milieux montagneux.",200000,"Amérique du Nord, Amérique centrale, Amérique du Sud"
Raton laveur,Procyonidae,Procyon lotor,Mammifère nocturne omnivore au masque noir et à la queue annelée.,10000000,Canada États-Unis Mexique
